,,,Nuclei,Word-final,Harmonic,SonSeq,Boundaries
,,,C1,C2,C3,C4,C5
,vir=tuositeet=ti,0,2,,,,2
,vir=tuositeetti,0,1,,,,1
,virtuo=si=teet=ti,0,2,,,,3
,virtuo=si=teetti,0,1,,,,2
,virtuo=siteet=ti,0,1,,,,2
,virtuo=siteetti,0,,,,,1
,virtuosi=teet=ti,0,1,,,,2
,virtuosi=teetti,0,,,,,1
,virtuositeet=ti,0,1,,,,1
hauiksesta,hauiksesta,1,,,,,
,hauiks=esta,0,,,,,1
hauistaan,hauistaan,1,,,,,
,hau=ista=an,0,1,,,,2
,hau=istaan,0,,,,,1
,hauista=an,0,1,,,,1
taistelukuvausta,taistelu=kuvausta,1,,,,,1
,taistelu=kuva=usta,0,,,,,2
,taistelukuva=usta,0,,,,,1
,taistelukuvausta,0,,,,,
establishment,establishment,1,,,,,
,esta=blishment,0,,,,,1
kauimpaa,kauimpaa,1,,,,,
,kauim=paa,0,,1,,,1
kuukautta,kuu=kautta,1,,,,,1
,kuukautta,0,,,,,
nimenomaan,nimen=omaan,1,,,,,1
,nimen=oma=an,0,1,,,,2
,nimenoma=an,0,1,,,,1
,nimenomaan,0,,,,,
viranomaiset,viran=omaiset,1,,,,,1
,viran=oma=iset,0,,,,,2
,viranoma=iset,0,,,,,1
,viranomaiset,0,,,,,
kansanedustaja,kansan=edustaja,1,,,,,1
,kansanedustaja,0,,,,,
lukuunottamatta,lukuun=ottamatta,1,,,,,1
,luku=un=otta=matta,0,1,,,,3
,luku=un=ottamatta,0,1,,,,2
,luku=unotta=matta,0,,,,,2
,luku=unottamatta,0,,,,,1
,lukuun=otta=matta,0,,,,,2
,lukuunotta=matta,0,,,,,1
,lukuunottamatta,0,,,,,
kangasalan,kangas=alan,1,,,,,1
,kangasalan,0,,,,,
viranomaisten,viran=omaisten,1,,,,,1
,viran=oma=isten,0,,,,,2
,viranoma=isten,0,,,,,1
,viranomaisten,0,,,,,
kenties,kenties,1,,,,,
,ken=ties,0,1,,,,1
jääkiekkoilu,jAA=kiekkoilu,1,,,,,1
,jAAkiekkoilu,0,,,1,,
lääketieteen,lAAke=tieteen,1,,,,,1
,lAAketieteen,0,,,,,
jääkiekkoilun,jAA=kiekkoilun,1,,,,,1
,jAA=kiekkoilu=n,0,1,,,1,2
,jAAkiekkoilu=n,0,1,,1,1,1
,jAAkiekkoilun,0,,,1,,
kangasalla,kangas=alla,1,,,,,1
,kangasalla,0,,,,,
erinomaisesti,erinomaisesti,1,,,,,
,erinoma=isesti,0,,,,,1
yhtäkkiä,yhtAkkiA,1,,,,,
,yhtA=kkiA,0,,,,1,1
samanaikaisesti,saman=aikaisesti,1,,,,,1
,saman=aika=isesti,0,,,,,2
,samanaika=isesti,0,,,,,1
,samanaikaisesti,0,,,,,
erinomainen,erinomainen,1,,,,,
,erinoma=inen,0,,,,,1
yksimielisesti,yksi=mielisesti,1,,,,,1
,yksi=miel=isesti,0,,,,,2
,yksimiel=isesti,0,,,,,1
,yksimielisesti,0,,,,,
kangasala,kangas=ala,1,,,,,1
,kangasala,0,,,,,
keskiviikkoiltana,keskiviikko=iltana,1,,,,,1
,keski=viikko=iltana,0,,,,,2
,keski=viikkoiltana,0,,,,,1
,keskiviikkoiltana,0,,,,,
loppuottelussa,loppu=ottelussa,1,,,,,1
,loppu=ottelu=ssa,0,1,,,1,2
,loppuottelu=ssa,0,1,,,1,1
,loppuottelussa,0,,,,,
kansanedustajat,kansan=edustajat,1,,,,,1
,kansan=edustaja=t,0,1,,,1,2
,kansanedustaja=t,0,1,,,1,1
,kansanedustajat,0,,,,,
asianajaja,asian=ajaja,1,,,,,1
,asian=aja=ja,0,1,,,,2
,asianaja=ja,0,1,,,,1
,asianajaja,0,,,,,
ilmaiskut,ilma=iskut,1,,,,,1
,ilma=isku=t,0,1,,,1,2
,ilmaisku=t,0,1,,,1,1
,ilmaiskut,0,,,,,
vakuutusyhtiö,vakuutus=yhtiO,1,,,,,1
,vakuutusyhtiO,0,,,1,,
henkilöauton,henkilO=auton,1,,,,,1
,henkilO=auto=n,0,1,,,1,2
,henkilOauto=n,0,1,,1,1,1
,henkilOauton,0,,,1,,
sosiaalidemokraattien,sosiaali=demokraattien,1,,,,,1
,sosiaali=demokraat=tien,0,,,,,2
,sosiaalidemokraat=tien,0,,,,,1
,sosiaalidemokraattien,0,,,,,
rahoituserien,rahoitus=erien,1,,,,,1
,rahoitus=eri=en,0,1,,,,2
,rahoituseri=en,0,1,,,,1
,rahoituserien,0,,,,,
virkamiesten,virka=miesten,1,,,,,1
,virka=mies=ten,0,1,,,,2
,virkamies=ten,0,1,,,,1
,virkamiesten,0,,,,,
lindström,lindstrOm,1,,1,,,
,lind=strOm,0,2,1,,,1
työnantaja,tyOn=antaja,1,,,,,1
,tyOn=an=taja,0,1,,,,2
,tyOnan=taja,0,,,1,,1
,tyOnantaja,0,,,1,,
tuomioistuimen,tuomio=istuimen,1,,,,,1
,tuomio=istui=men,0,1,,,,2
,tuomioistui=men,0,1,,,,1
,tuomioistuimen,0,,,,,
henkilöauto,henkilO=auto,1,,,,,1
,henkilOauto,0,,,1,,
koivuniemi,koivu=niemi,1,,,,,1
,koivuniemi,0,,,,,
tuomioistuin,tuomio=istuin,1,,,,,1
,tuomio=istui=n,0,1,,,1,2
,tuomioistui=n,0,1,,,1,1
,tuomioistuin,0,,,,,
enestam,enestam,1,,1,,,
,en=esta=m,0,2,1,,1,2
,en=estam,0,1,1,,,1
,enesta=m,0,1,1,,1,1
työnantajan,tyOn=antajan,1,,,,,1
,tyOn=an=taja=n,0,2,,,1,3
,tyOn=an=tajan,0,1,,,,2
,tyOn=antaja=n,0,1,,,1,2
,tyOnan=taja=n,0,1,,1,1,2
,tyOnan=tajan,0,,,1,,1
,tyOnantaja=n,0,1,,1,1,1
,tyOnantajan,0,,,1,,
vastikään,vast=ikAAn,1,1,,,1,1
,vasti=kAAn,0,,,,,1
,vastikAAn,0,,,1,,
rovaniemen,rova=niemen,1,,,,,1
,rovaniemen,0,,,,,
jugoslaviaa,jugoslaviaa,1,,,,,
,jugoslavia=a,0,1,,,,1
niinikään,niin=ikAAn,1,,,,,1
,niinikAAn,0,,,,,
kolmasosaa,kolmas=osaa,1,,,,,1
,kolmasosaa,0,,,,,
jugoslaviaan,jugoslaviaan,1,,,,,
,jugoslavia=an,0,1,,,,1
ritamies,ritamies,1,,,,,
,rita=mies,0,,,,,1
sosiaalidemokraatit,sosiaali=demokraatit,1,,,,,1
,sosiaali=demokraat=it,0,1,,,,2
,sosiaalidemokraat=it,0,1,,,,1
,sosiaalidemokraatit,0,,,,,
kansanäänestys,kansan=AAnestys,1,,,,,1
,kansanAAnestys,0,,,1,,
kaupunginorkesterin,kaupungin=orkesterin,1,,,,,1
,kaupungin=orkesteri=n,0,1,,,1,2
,kaupunginorkesteri=n,0,1,,,1,1
,kaupunginorkesterin,0,,,,,
kaupunginorkesteri,kaupungin=orkesteri,1,,,,,1
,kaupunginorkesteri,0,,,,,
vastaanoton,vastaan=oton,1,,,,,1
,vastaanoton,0,,,,,
oikeudenkäynnin,oikeuden=kAynnin,1,,,,,1
,oikeuden=kAynni=n,0,1,,,1,2
,oikeudenkAynni=n,0,1,,1,1,1
,oikeudenkAynnin,0,,,1,,
yleisurheilu,yleis=urheilu,1,,,,,1
,yleisurheilu,0,,,1,,
kolmasosa,kolmas=osa,1,,,,,1
,kolmasosa,0,,,,,
aamuyöllä,aamu=yOllA,1,,,,,1
,aamu=yO=llA,0,1,,,1,2
,aamuyO=llA,0,1,,1,1,1
,aamuyOllA,0,,,1,,
jugoslaviassa,jugoslaviassa,1,,,,,
,jugoslavia=ssa,0,1,,,1,1
kansanedustajan,kansan=edustajan,1,,,,,1
,kansan=edustaja=n,0,1,,,1,2
,kansanedustaja=n,0,1,,,1,1
,kansanedustajan,0,,,,,
kangasniemi,kangas=niemi,1,,,,,1
,kangasniemi,0,,,,,
mielenosoittajat,mielen=osoittajat,1,,,,,1
,mielen=osoit=taja=t,0,1,,,1,3
,mielen=osoit=tajat,0,,,,,2
,mielen=osoittaja=t,0,1,,,1,2
,mielenosoit=taja=t,0,1,,,1,2
,mielenosoit=tajat,0,,,,,1
,mielenosoittaja=t,0,1,,,1,1
,mielenosoittajat,0,,,,,
liikemies,liike=mies,1,,,,,1
,liikemies,0,,,,,
maajoukkueessa,maa=joukkueessa,1,,,,,1
,maa=joukkue=essa,0,,,,,2
,maajoukkue=essa,0,,,,,1
,maajoukkueessa,0,,,,,
rovaniemellä,rova=niemellA,1,,,,,1
,rova=niem=ellA,0,,1,,,2
,rovaniem=ellA,0,,1,,,1
,rovaniemellA,0,,,1,,
kotitalouksien,koti=talouksien,1,,,,,1
,koti=talo=uksien,0,,,,,2
,kotitalo=uksien,0,,,,,1
,kotitalouksien,0,,,,,
sundqvistin,sundqvistin,1,,,,,
,sundqvist=in,0,1,,,1,1
lakimies,laki=mies,1,,,,,1
,lakimies,0,,,,,
ihmisoikeuksien,ihmis=oikeuksien,1,,,,,1
,ihmis=oike=uksien,0,,,,,2
,ihmisoike=uksien,0,,,,,1
,ihmisoikeuksien,0,,,,,
tavanomaista,tavan=omaista,1,,,,,1
,tavan=oma=ista,0,,,,,2
,tavanoma=ista,0,,,,,1
,tavanomaista,0,,,,,
talousarvion,talous=arvion,1,,,,,1
,talous=arvio=n,0,1,,,1,2
,talousarvio=n,0,1,,,1,1
,talousarvion,0,,,,,
loppuotteluun,loppu=otteluun,1,,,,,1
,loppu=ottelu=un,0,1,,,,2
,loppuottelu=un,0,1,,,,1
,loppuotteluun,0,,,,,
työttömyysaste,tyOttOmyys=aste,1,,,,,1
,tyOttOmyysaste,0,,,1,,
kansanäänestystä,kansan=AAnestystA,1,,,,,1
,kansan=AAnestys=tA,0,1,,,,2
,kansanAAnestys=tA,0,1,,1,,1
,kansanAAnestystA,0,,,1,,
vapautusarmeijan,vapautus=armeijan,1,,,,,1
,vapaut=us=armeija=n,0,2,,,1,3
,vapaut=us=armeijan,0,1,,,,2
,vapaut=usarmeija=n,0,1,,,1,2
,vapaut=usarmeijan,0,,,,,1
,vapautus=armeija=n,0,1,,,1,2
,vapautusarmeija=n,0,1,,,1,1
,vapautusarmeijan,0,,,,,
ikäihmisten,ikA=ihmisten,1,,,,,1
,ikA=ihmis=ten,0,1,,,,2
,ikAihmis=ten,0,1,,,,1
,ikAihmisten,0,,,,,
työnantajien,tyOn=antajien,1,,,,,1
,tyOn=an=tajien,0,1,,,,2
,tyOnan=tajien,0,,,1,,1
,tyOnantajien,0,,,1,,
aittoniemi,aitto=niemi,1,,,,,1
,aittoniemi,0,,,,,
tytäryhtiö,tytAr=yhtiO,1,,,,,1
,tytAryhtiO,0,,,,,
oikeusasiamies,oikeus=asia=mies,1,,,,,2
,oikeus=asiamies,0,,,,,1
,oikeusasia=mies,0,,,,,1
,oikeusasiamies,0,,,,,
kaupunginosassa,kaupungin=osassa,1,,,,,1
,kaupunginosassa,0,,,,,
puoluekokouksessa,puolue=kokouksessa,1,,,,,1
,puoluekokouksessa,0,,,,,
kustannusarvio,kustannus=arvio,1,,,,,1
,kustannu=s=arvio,0,1,,,1,2
,kustannu=sarvio,0,,,,,1
,kustannusarvio,0,,,,,
yleisindeksi,yleis=indeksi,1,,,,,1
,yleisindeksi,0,,,,,
puhemiehen,puhe=miehen,1,,,,,1
,puhemiehen,0,,,,,
bjurström,bjurstrOm,1,,1,1,,
,b=jur=strOm,0,3,2,,1,2
,b=jurstrOm,0,1,2,1,1,1
,bjur=strOm,0,2,1,,,1
maajoukkue,maa=joukkue,1,,,,,1
,maajoukkue,0,,,,,
kansallisooppera,kansallis=ooppera,1,,,,,1
,kansallisooppera,0,,,,,
kangasalta,kangas=alta,1,,,,,1
,kangasalta,0,,,,,
äidinkielen,Aidin=kielen,1,,,,,1
,Aidin=kiel=en,0,1,,,,2
,Aidinkiel=en,0,1,,,,1
,Aidinkielen,0,,,,,
palomiehet,palo=miehet,1,,,,,1
,palo=mieh=et,0,1,1,,,2
,palomieh=et,0,1,1,,,1
,palomiehet,0,,,,,
ilmaiskujen,ilma=iskujen,1,,,,,1
,ilma=isku=jen,0,1,,,,2
,ilmaisku=jen,0,1,,,,1
,ilmaiskujen,0,,,,,
yksimielisiä,yksi=mielisiA,1,,,,,1
,yksi=miel=isiA,0,,,,,2
,yksimiel=isiA,0,,,,,1
,yksimielisiA,0,,,,,
virkamiehiä,virka=miehiA,1,,,,,1
,virka=mieh=iA,0,,1,,,2
,virkamieh=iA,0,,1,,,1
,virkamiehiA,0,,,1,,
kannanotto,kannan=otto,1,,,,,1
,ka=nnan=otto,0,2,,,1,2
,ka=nnanotto,0,1,,,1,1
,kannanotto,0,,,,,
prosenttiyksikön,prosentti=yksikOn,1,,,,,1
,prosenttiyksikOn,0,,,1,,
pääluottamusmies,pAA=luottamus=mies,1,,,,,2
,pAA=luottamusmies,0,,,,,1
,pAAluottamus=mies,0,,,1,,1
,pAAluottamusmies,0,,,1,,
viranomaisille,viran=omaisille,1,,,,,1
,viran=omais=ille,0,,,,,2
,viranomais=ille,0,,,,,1
,viranomaisille,0,,,,,
työnantajat,tyOn=antajat,1,,,,,1
,tyOn=an=taja=t,0,2,,,1,3
,tyOn=an=tajat,0,1,,,,2
,tyOn=antaja=t,0,1,,,1,2
,tyOnan=taja=t,0,1,,1,1,2
,tyOnan=tajat,0,,,1,,1
,tyOnantaja=t,0,1,,1,1,1
,tyOnantajat,0,,,1,,
kansanedustajaa,kansan=edustajaa,1,,,,,1
,kansan=edustaja=a,0,1,,,,2
,kansanedustaja=a,0,1,,,,1
,kansanedustajaa,0,,,,,
strasbourgissa,strasbourgissa,1,,,,,
,strasbourg=issa,0,,1,,,1
urheilutieto,urheilu=tieto,1,,,,,1
,urheilutieto,0,,,,,
työväenopiston,tyO=vAen=opiston,1,,,,,2
