,,,Nuclei,Word-final,Harmonic,SonSeq,Boundaries
,,,C1,C2,C3,C4,C5
,puhu=vat,0,1,,,,1
osana,osana,1,,,,,
,osan=a,0,1,,,,1
miltä,miltA,1,,,,,
,mi=ltA,0,2,,,1,1
käsissä,kAsissA,1,,,,,
,kAsi=ssA,0,1,,,1,1
paikat,paikat,1,,,,,
,paika=t,0,1,,,1,1
turhan,turhan,1,,,,,
,turha=n,0,1,,,1,1
aluetta,aluetta,1,,,,,
,alue=tta,0,1,,,1,1
nytkin,nytkin,1,,,,,
,nyt=kin,0,2,,,,1
muutakin,muutakin,1,,,,,
,muuta=kin,0,1,,,,1
pisteitä,pisteitA,1,,,,,
,piste=itA,0,,,,,1
alueilla,alueilla,1,,,,,
,alue=illa,0,,,,,1
nimeltä,nimeltA,1,,,,,
,nim=eltA,0,1,1,,,1
keskittyy,keskittyy,1,,,,,
,keski=t=tyy,0,1,,,1,2
,keski=ttyy,0,,,,1,1
,keskit=tyy,0,,,,,1
varaan,varaan,1,,,,,
,vara=an,0,1,,,,1
uskoi,uskoi,1,,,,,
,usko=i,0,1,,,,1
järjestetty,jArjestetty,1,,,,,
,jArjes=tetty,0,,,,,1
eduskunnassa,edus=kunnassa,1,,,,,1
,eduskunnassa,0,,,,,
kestänyt,kestAnyt,1,,,,,
,kestA=nyt,0,1,,,,1
tulevat,tulevat,1,,,,,
,tuleva=t,0,1,,,1,1
leonian,leonian,1,,,,,
,leonia=n,0,1,,,1,1
arvioida,arvioida,1,,,,,
,arvioi=da,0,1,,,,1
halosen,halosen,1,,,,,
,halo=sen,0,1,,,,1
juoksi,juoksi,1,,,,,
,juo=ksi,0,1,,,1,1
serbit,serbit,1,,,,,
,serbi=t,0,1,,,1,1
tarjosi,tarjosi,1,,,,,
,tarjo=si,0,1,,,,1
lisäsi,lisAsi,1,,,,,
,lisA=si,0,1,,,,1
pysynyt,pysynyt,1,,,,,
,pysy=nyt,0,1,,,,1
teatteria,teatteria,1,,,,,
,teatteri=a,0,1,,,,1
puute,puute,1,,,,,
,puu=te,0,1,,,,1
radalla,radalla,1,,,,,
,rad=alla,0,1,,,,1
kaikesta,kaikesta,1,,,,,
,kaik=esta,0,,1,,,1
jalkapalloilun,jalka=palloilun,1,,,,,1
,jalka=palloilu=n,0,1,,,1,2
,jalkapalloilu=n,0,1,,,1,1
,jalkapalloilun,0,,,,,
espoon,espoon,1,,,,,
,espoo=n,0,1,,,1,1
liikennettä,liikennettA,1,,,,,
,liikenne=ttA,0,1,,,1,1
odotettavissa,odotettavissa,1,,,,,
,odot=et=ta=vissa,0,2,,,,3
,odot=et=tavissa,0,1,,,,2
,odot=etta=vissa,0,,,,,2
,odot=ettavissa,0,,,,,1
,odotet=ta=vissa,0,1,,,,2
,odotet=tavissa,0,,,,,1
,odotetta=vissa,0,,,,,1
anteeksi,anteeksi,1,,,,,
,an=teeksi,0,1,,,,1
asteen,asteen,1,,,,,
,aste=en,0,1,,,,1
hallitukseen,hallitukseen,1,,,,,
,halli=t=ukseen,0,1,,,1,2
,halli=tukseen,0,,,,,1
,hallit=ukseen,0,,,,,1
pelaajia,pelaajia,1,,,,,
,pelaa=jia,0,,,,,1
enemmänkin,enemmAnkin,1,,,,,
,enemmAn=kin,0,1,,,,1
joukkueessa,joukkueessa,1,,,,,
,joukkue=essa,0,,,,,1
tonnia,tonnia,1,,,,,
,tonni=a,0,1,,,,1
harva,harva,1,,,,,
,harv=a,0,2,1,,,1
keinoja,keinoja,1,,,,,
,keino=ja,0,1,,,,1
tuomo,tuomo,1,,,,,
,tuo=mo,0,1,,,,1
ulkona,ulkona,1,,,,,
,ulko=na,0,1,,,,1
tuomittu,tuomittu,1,,,,,
,tuomi=ttu,0,1,,,1,1
lopullinen,lopullinen,1,,,,,
,lopu=llinen,0,,,,1,1
vaatinut,vaatinut,1,,,,,
,vaati=nut,0,1,,,,1
vieraat,vieraat,1,,,,,
,viera=at,0,1,,,,1
toimia,toimia,1,,,,,
,toimi=a,0,1,,,,1
tiistain,tiistain,1,,,,,
,tiistai=n,0,1,,,1,1
pietarin,pietarin,1,,,,,
,pietari=n,0,1,,,1,1
tuija,tuija,1,,,,,
,tui=ja,0,1,,,,1
menehtyi,menehtyi,1,,,,,
,mene=htyi,0,,,,1,1
kaikessa,kaikessa,1,,,,,
,kaik=essa,0,,1,,,1
karjalainen,karjalainen,1,,,,,
,karja=lainen,0,,,,,1
internetin,inter=netin,1,,,,,1
,inter=n=et=in,0,3,,,1,3
,inter=n=etin,0,1,,,1,2
,inter=net=in,0,2,,,,2
,intern=et=in,0,2,,,1,2
,intern=etin,0,,,,1,1
,internet=in,0,1,,,,1
,internetin,0,,,,,
äänistä,AAnistA,1,,,,,
,AAn=istA,0,,,,,1
lähelle,lAhelle,1,,,,,
,lAhe=lle,0,1,,,1,1
lähetti,lAhetti,1,,,,,
,lAhe=tti,0,1,,,1,1
jättänyt,jAttAnyt,1,,,,,
,jA=ttAnyt,0,1,,,1,1
vetää,vetAA,1,,,,,
,vetA=A,0,1,,,,1
tarjotaan,tarjotaan,1,,,,,
,tarjo=taan,0,,,,,1
elokuvaa,elo=kuvaa,1,,,,,1
,elokuvaa,0,,,,,
onnettomuuden,onnettomuuden,1,,,,,
,onnettom=uuden,0,,1,,,1
painoi,painoi,1,,,,,
,paino=i,0,1,,,,1
taloudellinen,taloudellinen,1,,,,,
,taloudell=inen,0,,,,1,1
kysyntä,kysyntA,1,,,,,
,kysy=n=tA,0,2,,,1,2
,kysy=ntA,0,1,,,1,1
,kysyn=tA,0,1,,,,1
löydetty,lOydetty,1,,,,,
,lOyde=tty,0,1,,,1,1
ottavat,ottavat,1,,,,,
,ottava=t,0,1,,,1,1
luopua,luopua,1,,,,,
,luopu=a,0,1,,,,1
nauttia,nauttia,1,,,,,
,nautti=a,0,1,,,,1
myllylä,myllylA,1,,,,,
,mylly=lA,0,1,,,,1
litraa,litraa,1,,,,,
,litr=a=a,0,3,,,1,2
,litr=aa,0,1,,,1,1
,litra=a,0,1,,,,1
vauhdilla,vauhdilla,1,,,,,
,vauhd=illa,0,,,,1,1
täältä,tAAltA,1,,,,,
,tAA=ltA,0,1,,,1,1
liikenteessä,liikenteessA,1,,,,,
,liike=n=te=essA,0,2,,,1,3
,liike=n=teessA,0,1,,,1,2
,liike=nte=essA,0,1,,,1,2
,liike=nteessA,0,,,,1,1
,liiken=te=essA,0,1,,,,2
,liiken=teessA,0,,,,,1
,liikente=essA,0,,,,,1
joukon,joukon,1,,,,,
,jouko=n,0,1,,,1,1
sanat,sanat,1,,,,,
,sana=t,0,1,,,1,1
väyrynen,vAyrynen,1,,,,,
,vAyry=nen,0,1,,,,1
tarvitsevat,tarvitsevat,1,,,,,
,tarvitse=vat,0,1,,,,1
milosevicin,milosevicin,1,,,,,
,milosevic=in,0,1,1,,,1
piirissä,piirissA,1,,,,,
,piiri=ssA,0,1,,,1,1
minne,minne,1,,,,,
,min=ne,0,2,,,,1
johtama,johtama,1,,,,,
,joh=tama,0,1,1,,,1
yritystä,yritystA,1,,,,,
,yritys=tA,0,1,,,,1
päätoimittaja,pAA=toimittaja,1,,,,,1
,pAAtoimittaja,0,,,1,,
taloon,taloon,1,,,,,
,talo=on,0,1,,,,1
opiskelija,opiskelija,1,,,,,
,opiskeli=ja,0,1,,,,1
törkeästä,tOrkeAstA,1,,,,,
,tOrkeA=stA,0,1,,,,1
kävivät,kAvivAt,1,,,,,
,kAvi=vAt,0,1,,,,1
loppuu,loppuu,1,,,,,
,loppu=u,0,1,,,,1
maarit,maarit,1,,,,,
,maa=rit,0,1,,,,1
rajat,rajat,1,,,,,
,raja=t,0,1,,,1,1
kenenkään,kenenkAAn,1,,,,,
,ke=nen=kAAn,0,2,,,,2
,ke=nenkAAn,0,1,,,,1
,kenen=kAAn,0,,,,,1
herätti,herAtti,1,,,,,
,herA=tti,0,1,,,1,1
näkyi,nAkyi,1,,,,,
,nAky=i,0,1,,,,1
kelan,kelan,1,,,,,
,kela=n,0,1,,,1,1
korvauksia,korvauksia,1,,,,,
,korva=uksia,0,,,,,1
julkisen,julkisen,1,,,,,
,julkis=en,0,1,,,,1
toiselle,toiselle,1,,,,,
,tois=elle,0,,,,,1
tampellan,tampellan,1,,,,,
,tampel=lan,0,1,,,,1
liittyviä,liittyviA,1,,,,,
,liitty=viA,0,,,,,1
mestaruus,mestaruus,1,,,,,
,mestar=uus,0,,,,,1
vastaavasti,vastaavasti,1,,,,,
,vastaava=sti,0,1,,,,1
viittaa,viittaa,1,,,,,
,vi=ittaa,0,1,,,,1
sattunut,sattunut,1,,,,,
,sattu=nut,0,1,,,,1
kera,kera,1,,,,,
,ker=a,0,2,,,,1
painottaa,painottaa,1,,,,,
,paino=ttaa,0,,,,1,1
toisiinsa,toisiinsa,1,,,,,
,toisi=in=sa,0,2,,,,2
,toisi=insa,0,,,,,1
,toisiin=sa,0,1,,,,1
metrillä,metrillA,1,,,,,
,metri=llA,0,1,,,1,1
asialla,asialla,1,,,,,
,asia=lla,0,1,,,1,1
yleisen,yleisen,1,,,,,
,yleis=en,0,1,,,,1
puun,puun,1,,,,,
,puu=n,0,1,,,1,1
tasoa,tasoa,1,,,,,
,taso=a,0,1,,,,1
osaltaan,osaltaan,1,,,,,
,osalta=an,0,1,,,,1
hakala,hakala,1,,,,,
,haka=la,0,1,,,,1
turkki,turkki,1,,,,,
,tur=kki,0,2,,,1,1
lähtivät,lAhtivAt,1,,,,,
,lAhti=vAt,0,1,,,,1
täyteen,tAyteen,1,,,,,
,tAy=teen,0,,,,,1
lukee,lukee,1,,,,,
,luke=e,0,1,,,,1
poliittista,poliittista,1,,,,,
,poliittis=ta,0,1,,,,1
tapauksissa,tapauksissa,1,,,,,
,tapa=uksissa,0,,,,,1
tutkia,tutkia,1,,,,,
,tutki=a,0,1,,,,1
muualta,muualta,1,,,,,
,muu=alta,0,,,,,1
muodossa,muodossa,1,,,,,
,muodos=sa,0,1,,,,1
viedään,viedAAn,1,,,,,
,vie=dAAn,0,,,,,1
valtaa,valtaa,1,,,,,
,valta=a,0,1,,,,1
sotaa,sotaa,1,,,,,
,sota=a,0,1,,,,1
osakkeet,osakkeet,1,,,,,
,osakke=et,0,1,,,,1
henki,henki,1,,,,,
,henk=i,0,2,1,,,1
ikonen,ikonen,1,,,,,
,i=kone=n,0,2,,,1,2
,i=konen,0,1,,,,1
,ikone=n,0,1,,,1,1
asuntoja,asuntoja,1,,,,,
,asunto=ja,0,1,,,,1
pitkät,pitkAt,1,,,,,
,pitkA=t,0,1,,,1,1
neljännen,neljAnnen,1,,,,,
,neljAn=nen,0,1,,,,1
panna,panna,1,,,,,
,pan=na,0,2,,,,1
tuomion,tuomion,1,,,,,
,tuomio=n,0,1,,,1,1
palon,palon,1,,,,,
,palo=n,0,1,,,1,1
neljänneksi,neljAnneksi,1,,,,,
,neljAn=n=eksi,0,1,,,1,2
,neljAn=neksi,0,,,,,1
,neljAnn=eksi,0,,,,1,1
alkoholin,alkoholin,1,,,,,
,alkoholi=n,0,1,,,1,1
vankeutta,vankeutta,1,,,,,
,vankeu=tta,0,1,,,1,1
eläinten,elAinten,1,,,,,
,elA=in=ten,0,2,,,,2
,elA=inten,0,,,,,1
,elAin=ten,0,1,,,,1
tulevaisuutta,tulevaisuutta,1,,,,,
,tulevais=uutta,0,,,,,1
kohteeksi,kohteeksi,1,,,,,
,koh=teeksi,0,1,1,,,1
juurikaan,juurikaan,1,,,,,
,juuri=kaan,0,,,,,1
kuunnella,kuunnella,1,,,,,
,kuun=n=ella,0,1,,,1,2
,kuun=nella,0,,,,,1
,kuunn=ella,0,,,,1,1
orkesterin,orkesterin,1,,,,,
,orkesteri=n,0,1,,,1,1
kärsii,kArsii,1,,,,,
,kArsi=i,0,1,,,,1
puolueet,puolueet,1,,,,,
,puolue=et,0,1,,,,1
amerikkalaisen,amerikkalaisen,1,,,,,
,amerikkalais=en,0,1,,,,1
kalervo,kalervo,1,,,,,
,ka=lervo,0,1,,,,1
vasten,vasten,1,,,,,
,vast=en,0,2,,,1,1
osaksi,osaksi,1,,,,,
,osa=ksi,0,1,,,1,1
kohde,kohde,1,,,,,
,koh=de,0,2,1,,,1
taina,taina,1,,,,,
,ta=in=a,0,3,,,,2
,ta=ina,0,1,,,,1
,tain=a,0,1,,,,1
seuraavat,seuraavat,1,,,,,
,seuraava=t,0,1,,,1,1
kehuu,kehuu,1,,,,,
,ke=huu,0,1,,,,1
ryhmässä,ryhmAssA,1,,,,,
,ryhmA=ssA,0,1,,,1,1
sibelius,sibelius,1,,,,,
,sibeli=us,0,1,,,,1
sotilaat,sotilaat,1,,,,,
,sotilaa=t,0,1,,,1,1
toiselle,toiselle,1,,,,,
,tois=elle,0,,,,,1
sevillan,sevillan,1,,,,,
,sevilla=n,0,1,,,1,1
historiaan,historiaan,1,,,,,
,historia=an,0,1,,,,1
venäläisten,venAlAisten,1,,,,,
,venAlAis=ten,0,1,,,,1
tutustua,tutustua,1,,,,,
,tutus=tua,0,,,,,1
käyntiin,kAyntiin,1,,,,,
,kAynti=in,0,1,,,,1
taloudellisesti,taloudellisesti,1,,,,,
,taloudell=isesti,0,,,,1,1
ilmoitus,ilmoitus,1,,,,,
,ilmoit=us,0,1,,,,1
raija,raija,1,,,,,
,ra=i=ja,0,3,,,,2
,ra=ija,0,1,,,,1
,rai=ja,0,1,,,,1
ranskalainen,ranskalainen,1,,,,,
,ranska=lainen,0,,,,,1
hoidon,hoidon,1,,,,,
,hoid=on,0,1,,,,1
valtava,valtava,1,,,,,
,valta=va,0,1,,,,1
monella,monella,1,,,,,
,mon=ella,0,1,,,,1
iloinen,iloinen,1,,,,,
,ilo=inen,0,,,,,1
aletaan,aletaan,1,,,,,
,al=etaan,0,1,,,,1
ruotsiin,ruotsiin,1,,,,,
,ruotsi=in,0,1,,,,1
pelaajaa,pelaajaa,1,,,,,
,pelaaja=a,0,1,,,,1
tulokseen,tulokseen,1,,,,,
,tulo=kseen,0,,,,1,1
joskin,joskin,1,,,,,
,jos=kin,0,2,,,,1
kuullut,kuullut,1,,,,,
,kuu=llut,0,1,,,1,1
pienempi,pienempi,1,,,,,
,pien=empi,0,,,,,1
vieraili,vieraili,1,,,,,
,viera=ili,0,,,,,1
tiukka,tiukka,1,,,,,
,tiuk=ka,0,1,1,,,1
mauno,mauno,1,,,,,
,mau=no,0,1,,,,1
niistä,niistA,1,,,,,
,ni=istA,0,1,,,,1
omiin,omiin,1,,,,,
,omi=in,0,1,,,,1
asunut,asunut,1,,,,,
,asu=nut,0,1,,,,1
maanantain,maanantain,1,,,,,
,maanantai=n,0,1,,,1,1
väinö,vAinO,1,,,,,
,vAi=n=O,0,2,,,1,2
,vAi=nO,0,1,,,,1
,vAin=O,0,1,,,,1
vapaasti,vapaasti,1,,,,,
,vapaa=sti,0,1,,,,1
epäilee,epAilee,1,,,,,
,epA=ilee,0,,,,,1
huumeiden,huumeiden,1,,,,,
,huume=iden,0,,,,,1
elämänsä,elAmAnsA,1,,,,,
,elAmA=nsA,0,1,,,1,1
asiakkaan,asiakkaan,1,,,,,
,asiakka=an,0,1,,,,1
päivään,pAivAAn,1,,,,,
,pAivA=An,0,1,,,,1
puhuttu,puhuttu,1,,,,,
,puhu=ttu,0,1,,,1,1
kinnunen,kinnunen,1,,,,,
,kin=n=unen,0,2,,,1,2
,kin=nunen,0,1,,,,1
,kinn=unen,0,1,,,1,1
todellisuudessa,todellisuudessa,1,,,,,
,todellis=uudessa,0,,,,,1
asuntoa,asuntoa,1,,,,,
,asunto=a,0,1,,,,1
tutkitaan,tutkitaan,1,,,,,
,tutki=taan,0,,,,,1
rantala,rantala,1,,,,,
,ranta=la,0,1,,,,1
täydellinen,tAydellinen,1,,,,,
,tAydell=inen,0,,,,1,1
tunteita,tunteita,1,,,,,
,tunte=ita,0,,,,,1
laittaa,laittaa,1,,,,,
,lait=taa,0,,,,,1
hallin,hallin,1,,,,,
,halli=n,0,1,,,1,1
neljästä,neljAstA,1,,,,,
,neljA=stA,0,1,,,,1
oliko,oliko,1,,,,,
,oli=ko,0,1,,,,1
jakaa,jakaa,1,,,,,
,ja=kaa,0,1,,,,1
ymmärtää,ymmArtAA,1,,,,,
,ymmArtA=A,0,1,,,,1
kirjailijan,kirjailijan,1,,,,,
,kirja=ilija=n,0,1,,,1,2
,kirja=ilijan,0,,,,,1
,kirjailija=n,0,1,,,1,1
hyväkseen,hyvAkseen,1,,,,,
,hyvA=kseen,0,,,,1,1
osakkeen,osakkeen,1,,,,,
,osakke=en,0,1,,,,1
turvallisuuden,turvallisuuden,1,,,,,
,turvallis=uuden,0,,,,,1
jokaiselle,jokaiselle,1,,,,,
,joka=iselle,0,,,,,1
joukkueet,joukkueet,1,,,,,
,joukkue=et,0,1,,,,1
tärkeänä,tArkeAnA,1,,,,,
,tArkeA=nA,0,1,,,,1
meiltä,meiltA,1,,,,,
,me=iltA,0,1,,,,1
väitti,vAitti,1,,,,,
,vAi=tti,0,1,,,1,1
vuodelle,vuodelle,1,,,,,
,vuod=elle,0,,,,,1
varoja,varoja,1,,,,,
,varo=ja,0,1,,,,1
tunnustaa,tunnustaa,1,,,,,
,tunnus=taa,0,,,,,1
pispalan,pispalan,1,,,,,
,pisp=alan,0,1,1,,1,1
kanta,kanta,1,,,,,
,kan=ta,0,2,,,,1
miehelle,miehelle,1,,,,,
,mieh=elle,0,,1,,,1
jutussa,jutussa,1,,,,,
,ju=tu=ssa,0,3,,,1,2
,ju=tussa,0,1,,,,1
,jutu=ssa,0,1,,,1,1
jatkoa,jatkoa,1,,,,,
,jatko=a,0,1,,,,1
hetkeksi,hetkeksi,1,,,,,
,hetk=eksi,0,1,1,,1,1
ennenkin,ennenkin,1,,,,,
,ennen=kin,0,1,,,,1
viimeisessä,viimeisessA,1,,,,,
,viime=isessA,0,,,,,1
yleistä,yleistA,1,,,,,
,yleis=tA,0,1,,,,1
oppia,oppia,1,,,,,
,oppi=a,0,1,,,,1
projektin,projektin,1,,,,,
,projekti=n,0,1,,,1,1
parhaana,parhaana,1,,,,,
,parha=an=a,0,2,,,,2
,parha=ana,0,,,,,1
,parhaan=a,0,1,,,,1
uusiksi,uusiksi,1,,,,,
,uusi=ksi,0,1,,,1,1
laskettu,laskettu,1,,,,,
,laske=ttu,0,1,,,1,1
yhdeksi,yhdeksi,1,,,,,
,yhd=eksi,0,1,,,1,1
yhdistää,yhdistAA,1,,,,,
,yhdist=A=A,0,2,,,1,2
,yhdist=AA,0,,,,1,1
,yhdistA=A,0,1,,,,1
kansallisen,kansallisen,1,,,,,
,kansallis=en,0,1,,,,1
erilainen,erilainen,1,,,,,
,erila=inen,0,,,,,1
presidentiksi,presidentiksi,1,,,,,
,president=iksi,0,,,,,1
esittänyt,esittAnyt,1,,,,,
,esi=ttAnyt,0,,,,1,1
kaija,kaija,1,,,,,
,kai=ja,0,1,,,,1
toiminnasta,toiminnasta,1,,,,,
,toimi=nnasta,0,,,,1,1
heikkinen,heikkinen,1,,,,,
,heikki=nen,0,1,,,,1
samasta,samasta,1,,,,,
,sama=sta,0,1,,,,1
tavallisen,tavallisen,1,,,,,
,tavallis=en,0,1,,,,1
markkinoiden,markkinoiden,1,,,,,
,markkin=o=iden,0,1,,,,2
,markkin=oiden,0,,,,,1
,markkino=iden,0,,,,,1
rauhallisesti,rauhallisesti,1,,,,,
,rauha=llisesti,0,,,,1,1
mäkisen,mAkisen,1,,,,,
,mAki=sen,0,1,,,,1
tieltä,tieltA,1,,,,,
,ti=eltA,0,1,,,,1
kauppaa,kauppaa,1,,,,,
,kauppa=a,0,1,,,,1
kauko,kauko,1,,,,,
,kau=ko,0,1,,,,1
puuttua,puuttua,1,,,,,
,puut=tua,0,,,,,1
miettinen,miettinen,1,,,,,
,mietti=nen,0,1,,,,1
kokemuksia,kokemuksia,1,,,,,
,kokem=uksia,0,,1,,,1
tiennyt,tiennyt,1,,,,,
,tien=nyt,0,1,,,,1
jatkamaan,jatkamaan,1,,,,,
,jatka=maan,0,,,,,1
slovakian,slovakian,1,,,,,
,slovakia=n,0,1,,,1,1
luvannut,luvannut,1,,,,,
,luvan=nut,0,1,,,,1
tarpeen,tarpeen,1,,,,,
,tarpee=n,0,1,,,1,1
aikuisten,aikuisten,1,,,,,
,aikuis=ten,0,1,,,,1
salon,salon,1,,,,,
,salo=n,0,1,,,1,1
ojanen,ojanen,1,,,,,
,oja=nen,0,1,,,,1
tammerkosken,tammer=kosken,1,,,,,1
,tammerkosken,0,,,,,
mörttinen,mOrttinen,1,,,,,
,mOrtt=inen,0,1,,,1,1
tehtäviä,tehtAviA,1,,,,,
,tehtA=viA,0,,,,,1
esiintynyt,esiintynyt,1,,,,,
,esiin=tynyt,0,,,,,1
näkyvät,nAkyvAt,1,,,,,
,nAkyvA=t,0,1,,,1,1
ajamaan,ajamaan,1,,,,,
,aja=maan,0,,,,,1
hienoa,hienoa,1,,,,,
,hieno=a,0,1,,,,1
laaksonen,laaksonen,1,,,,,
,laakso=nen,0,1,,,,1
liikkeellä,liikkeellA,1,,,,,
,liikke=ellA,0,,,,,1
puhetta,puhetta,1,,,,,
,puhe=tta,0,1,,,1,1
jatketaan,jatketaan,1,,,,,
,jat=ke=taan,0,2,,,,2
,jat=ketaan,0,1,,,,1
,jatke=taan,0,,,,,1
lähtemään,lAhtemAAn,1,,,,,
,lAhte=mAAn,0,,,,,1
mistään,mistAAn,1,,,,,
,mistA=An,0,1,,,,1
kouluun,kouluun,1,,,,,
,koulu=un,0,1,,,,1
kertomaan,kertomaan,1,,,,,
,kerto=maan,0,,,,,1
kuvaus,kuvaus,1,,,,,
,kuva=us,0,1,,,,1
pörssissä,pOrssissA,1,,,,,
,pOrssi=ssA,0,1,,,1,1
jyväskylässä,jyvAs=kylAssA,1,,,,,1
,jyvAs=kylA=ssA,0,1,,,1,2
,jyvAskylA=ssA,0,1,,,1,1
,jyvAskylAssA,0,,,,,
palannut,palannut,1,,,,,
,pala=nnut,0,1,,,1,1
kolmatta,kolmatta,1,,,,,
,kol=matta,0,1,,,,1
rajalla,rajalla,1,,,,,
,raja=lla,0,1,,,1,1
otettava,otettava,1,,,,,
,ot=et=tava,0,2,,,,2
,ot=ettava,0,1,,,,1
,otet=tava,0,,,,,1
erilaisten,erilaisten,1,,,,,
,erila=isten,0,,,,,1
vaikutusta,vaikutusta,1,,,,,
,vaikut=usta,0,,,,,1
siirtyä,siirtyA,1,,,,,
,siir=tyA,0,,,,,1
etsimään,etsimAAn,1,,,,,
,etsi=mAAn,0,,,,,1
sähkön,sAhkOn,1,,,,,
,sAhkO=n,0,1,,,1,1
kuolleet,kuolleet,1,,,,,
,kuolle=et,0,1,,,,1
myynnistä,myynnistA,1,,,,,
,myy=n=n=istA,0,2,,,2,3
,myy=n=nistA,0,1,,,1,2
,myy=nn=istA,0,1,,,1,2
,myy=nnistA,0,,,,1,1
,myyn=n=istA,0,1,,,1,2
,myyn=nistA,0,,,,,1
,myynn=istA,0,,,,1,1
ryhmään,ryhmAAn,1,,,,,
,ryhmA=An,0,1,,,,1
ongelmana,ongelmana,1,,,,,
,ongelma=na,0,1,,,,1
huomaa,huomaa,1,,,,,
,huoma=a,0,1,,,,1
vihreiden,vihreiden,1,,,,,
,vihr=eiden,0,1,,,1,1
valoa,valoa,1,,,,,
,valo=a,0,1,,,,1
löydettiin,lOydettiin,1,,,,,
,lOyde=ttiin,0,,,,1,1
lopuksi,lopuksi,1,,,,,
,lopu=ksi,0,1,,,1,1
vuotiaat,vuotiaat,1,,,,,
,vuotia=at,0,1,,,,1
kestävän,kestAvAn,1,,,,,
,kestA=vAn,0,1,,,,1
oopperan,oopperan,1,,,,,
,ooppera=n,0,1,,,1,1
koivula,koivula,1,,,,,
,koivu=la,0,1,,,,1
konsertin,konsertin,1,,,,,
,konsert=in,0,1,,,,1
suunnilleen,suunnilleen,1,,,,,
,suunni=lleen,0,,,,1,1
parhaita,parhaita,1,,,,,
,parha=ita,0,,,,,1
salt,salt,1,1,,,,
,sal=t,0,2,,,1,1
sehän,sehAn,1,,,,,
,se=hAn,0,2,,,,1
oulussa,oulussa,1,,,,,
,oulu=ssa,0,1,,,1,1
myytiin,myytiin,1,,,,,
,myy=tiin,0,,,,,1
tukholmassa,tukholmassa,1,,,,,
,tukholma=ssa,0,1,,,1,1
kauppojen,kauppojen,1,,,,,
,kaupp=ojen,0,,1,,1,1
samoja,samoja,1,,,,,
,samo=ja,0,1,,,,1
hävinnyt,hAvinnyt,1,,,,,
,hAvin=nyt,0,1,,,,1
eroja,eroja,1,,,,,
,ero=ja,0,1,,,,1
silmät,silmAt,1,,,,,
,silmA=t,0,1,,,1,1
tutkimusten,tutkimusten,1,,,,,
,tutkimus=ten,0,1,,,,1
lähiaikoina,lAhi=aikoina,1,,,,,1
,lAhiaikoina,0,,,1,,
paineita,paineita,1,,,,,
,pain=eita,0,,,,,1
muutoksen,muutoksen,1,,,,,
,muuto=ksen,0,1,,,1,1
tahtiin,tahtiin,1,,,,,
,t=ahti=in,0,2,,,1,2
,t=ahtiin,0,1,,,1,1
,tahti=in,0,1,,,,1
ovet,ovet,1,,,,,
,ov=et,0,2,1,,,1
esittämä,esittAmA,1,,,,,
,esit=tAmA,0,,,,,1
välityksellä,vAlityksellA,1,,,,,
,vAli=tyksellA,0,,,,,1
käyttänyt,kAyttAnyt,1,,,,,
,kAyttA=nyt,0,1,,,,1
internet,inter=net,1,1,,,,1
,inter=n=et,0,2,,,1,2
,intern=et,0,1,,,1,1
,internet,0,,,,,
lake,lake,1,,,,,
,la=ke,0,2,,,,1
laatua,laatua,1,,,,,
,laatu=a,0,1,,,,1
kerrallaan,kerrallaan,1,,,,,
,kerralla=an,0,1,,,,1
juttuun,juttuun,1,,,,,
,juttu=un,0,1,,,,1
elokuvien,elo=kuvien,1,,,,,1
,elo=kuvi=en,0,1,,,,2
,elokuvi=en,0,1,,,,1
,elokuvien,0,,,,,
koostuu,koostuu,1,,,,,
,koos=tuu,0,,,,,1
tutkimukset,tutkimukset,1,,,,,
,tutkim=ukset,0,,1,,,1
herättää,herAttAA,1,,,,,
,herA=ttAA,0,,,,1,1
parviainen,parviainen,1,,,,,
,par=via=inen,0,1,,,,2
,par=viainen,0,1,,,,1
,parvia=inen,0,,,,,1
kuudes,kuudes,1,,,,,
,kuu=de=s,0,2,,,1,2
,kuu=des,0,1,,,,1
,kuude=s,0,1,,,1,1
aktiivisesti,aktiivisesti,1,,,,,
,aktiivi=sesti,0,,,,,1
serbian,serbian,1,,,,,
,serbi=an,0,1,,,,1
johonkin,johonkin,1,,,,,
,joh=on=kin,0,3,1,,,2
,joh=onkin,0,1,1,,,1
,johon=kin,0,1,,,,1
suomalaisen,suomalaisen,1,,,,,
,suomalais=en,0,1,,,,1
bändin,bAndin,1,,,,,
,bAndi=n,0,1,,,1,1
sopivan,sopivan,1,,,,,
,sopi=van,0,1,,,,1
kulunut,kulunut,1,,,,,
,kulu=nut,0,1,,,,1
harvinaisen,harvinaisen,1,,,,,
,harvi=na=isen,0,1,,,,2
,harvi=naisen,0,,,,,1
,harvina=isen,0,,,,,1
liittyvät,liittyvAt,1,,,,,
,liittyvA=t,0,1,,,1,1
tanskassa,tanskassa,1,,,,,
,tanska=ssa,0,1,,,1,1
kuukaudeksi,kuu=kaudeksi,1,,,,,1
,kuukaudeksi,0,,,,,
miettimään,miettimAAn,1,,,,,
,mietti=mAAn,0,,,,,1
mahdollisia,mahdollisia,1,,,,,
,mahdolli=sia,0,,,,,1
tuotantoa,tuotantoa,1,,,,,
,tuotanto=a,0,1,,,,1
tapana,tapana,1,,,,,
,tapa=na,0,1,,,,1
vuodet,vuodet,1,,,,,
