  freq  compound    orth
------  ----------  --------------------------------------------------
     1              stop-ohjelma
     1              Tähti-palkinnon
     1              Suomen kuvalehdessä
     1              pörssi-ilta
     1              Vaasan yliopistoon
     1              me-paineet
     1              sijoitusrahasto-opas
     1              linja-autotuotantoon
     1              maskeeraaja-opiskelija
     1              Mäkinen after sales
     1              kriminaalihuoltokeskus-nimisen
     1              Energia-lehti
     1              kota-tietokanta
     1              Karli-Ivannon
     1              the Theory of and Mechanisms
  1911  C           ennen kuin
  1279  C           viime aikoina
  1063  C           jo nyt
  1033  C           silloin kun
   911  C           jonkin verran
   909  C           tähän mennessä
   807  C           tähän asti
   647  C           ensi-ilta
   597  C           kun taas
   592  C           Euroopan unionin
   547  C           niin ikään
   523  C           siitä huolimatta
   497  C           sen jälkeen kun
   474  C           sitä paitsi
   468  C           sen mukaan
   460  C           Itä-Timorin
   449  C           samoin kuin
   434  C           että kun
   430  C           Veli-Matti
   421  C           silloin tällöin
   413  C           yhtä aikaa
   408  C           heti kun
   401  C           sen vuoksi
   396  C           toisin kuin
   394  C           yhtä hyvin
   387  C           niin kauan kuin
   358  C           sitä kautta
   357  C           sen takia
   353  C           ennen muuta
   348  C           lauantai-iltana
   343  C           näillä näkymin
   342  C           jälleen kerran
   330  C           ilman muuta
   315  C           muutakin kuin
   310  C           Etelä-Afrikan
   308  C           loppujen lopuksi
   302  C           saman tien
   299  C           siinä missä
   293  C           Etelä-Suomen
   292  C           sunnuntai-iltana
   290  C           Maila-Katriina
   281  C           ilman että
   280  C           vasta sitten
   279  C           tässä tapauksessa
   257  C           kaiken kaikkiaan
   257  C           ensi-iltansa
   257  C           Suvi-Anne
   254  C           Keski-Suomen
   248  C           varsinkin kun
   239  C           nyt kun
   235  C           mikä tahansa
   234  C           Pohjois-Irlannin
   231  C           joka kerta
   230  C           tätä nykyä
   223  C           kuin mitä
   220  C           totta kai
   220  C           Marja-Liisa
   217  C           molemmin puolin
   214  C           paikan päällä
   209  C           Euroopan unioni
   209  C           Jukka-Pekka
   209  C           ensi kerran
   205  C           ei ihme
   196  C           viime kädessä
   195  C           Lähi-idän
   195  C           kaikesta huolimatta
   194  C           suurin piirtein
   194  C           siinä mielessä
   191  C           Jan-Erik
   191  C           Keski-Euroopassa
   190  C           muualla kuin
   189  C           siihen asti
   188  C           tästä syystä
   187  C           enemmän tai vähemmän
   184  C           Valko-Venäjän
   183  C           Sirkka-Liisa
   182  C           aika ajoin
   182  C           Pohjois-Amerikan
   182  C           sodan aikana
   181  C           Etelä-Suomessa
   181  C           yhtään mitään
   180  C           yhä useammin
   178  C           Marja-Leena
   178  C           vuosi vuodelta
   177  C           alusta loppuun
   176  C           jokin aika sitten
   175  C           Itä-Timorissa
   173  C           vähintään yhtä
   172  C           Veli-Pekka
   172  C           suomi-yhtiön
   172  C           jonkin aikaa
   171  C           alusta alkaen
   170  C           vähän aikaa
   166  C           tavalla tai toisella
   164  C           varmuuden vuoksi
   161  C           siinä tapauksessa
   161  C           kaikkea muuta kuin
   160  C           yhtä lailla
   159  C           Helsingin yliopistosta
   157  C           suurelta osin
   155  C           Itä-Saksan
   154  C           Stora Enso
   151  C           sitä vastoin
   148  C           missään nimessä
   148  C           minkä vuoksi
   148  C           kautta aikojen
   146  C           omalta osaltaan
   146  C           tämän takia
   145  C           alusta lähtien
   144  C           mukaan lukien
   141  C           toisin sanoen
   139  C           Etelä-Afrikassa
   139  C           Juha-Pekka
   139  C           Itä-Timoriin
   139  C           Helsingin Sanomien
   137  C           monin paikoin
   136  C           Anna-Liisa
   133  C           heti perään
   133  C           paras mahdollinen
   133  C           Ison-Britannian
   133  C           kerta kaikkiaan
   132  C           entä jos
   130  C           kuten esimerkiksi
   130  C           ikävä kyllä
   129  C           pitkään aikaan
   128  C           Itar-Tass
   128  C           kuorma-auton
   127  C           niin sanottu
   126  C           kaikin puolin
   125  C           Etelä-Korean
   125  C           samoihin aikoihin
   124  C           Iso-Britannia
   123  C           ensi-iltaan
   122  C           siihen mennessä
   122  C           siihen aikaan
   120  C           aivan kuten
   120  C           Tampereen teknillisen korkeakoulun
   119  C           siinä määrin
   118  C           missä tahansa
   115  C           hyvää vauhtia
   115  C           jo ennestään
   115  C           Kari-Pekka
   114  C           linja-auton
   113  C           niin myös
   113  C           tasa-arvo
   113  C           ehkä jo
   113  C           Pohjois-Amerikassa
   112  C           aika lailla
   112  C           linja-autoaseman
   111  C           Pohjois-Korean
   111  C           tällä haavaa
   111  C           takaa-ajon
   111  C           jo jonkin aikaa
   110  C           te-keskuksen
   110  C           vaikka kuinka
   109  C           tasa-arvoa
   109  C           oikeaan aikaan
   108  C           tällä erää
   108  C           entistä paremmin
   105  C           Itä-Euroopan
   105  C           jopa niin
   104  C           Etelä-Amerikan
   103  C           toissa vuonna
   102  C           Itä-Suomen
   102  C           ja niin edelleen
   101  C           tätä kautta
   100  C           kauan sitten
   100  C           Anna-Maija
   100  C           tammi-kesäkuussa
    34  C           Etelä-Suomen Sanomissa
     3  C           Lounais-Suomen Puhelin
     1  C           avioero-onnea
     1  C           millennium-gaaloissaan
     1  C           Lounais-Suomen Puhelinta
     1  C           suomi-ruotsi-välieräottelun
     1  C           baseball-lupauksen
    99              ajan tasalla
    99              tarpeen mukaan
    97              toinen toistaan
    97              juuri ja juuri
    97              Pohjois-Korea
    96              Euroopan unioniin
    96              Pohjois-Suomen
    96              sitä mukaa
    96              toden teolla
    96              niin sanotun
    96              Pohjois-Karjalan
    94              jos ja kun
    94              tähän aikaan
    94              pommi-iskut
    93              Pohjois-Suomessa
    93              ala-asteella
    92              parantamisen varaa
    92              paitsi että
    91              Uuden-Seelannin
    90              Etelä-Afrikka
    89              käytännöllisesti katsoen
    89              missään muualla
    89              pitkäksi aikaa
    89              etenkin kun
    89              samalla tavoin
    88              mitä kaikkea
    88              sen kummemmin
    87              tämän tästä
    86              hädin tuskin
    86              pinta-ala
    86              tällä tavoin
    86              muitakin kuin
    86              siitä syystä
    86              Keski-Suomessa
    86              Länsi-Saksan
    85              Eeva-Liisa
    85              monien mielestä
    85              taka-alalle
    85              ensi-illan
    85              Länsi-Euroopan
    85              toista vuotta
    84              lähes poikkeuksetta
    84              päinvastoin kuin
    84              niin vain
    84              millään tavoin
    84              aika-ajossa
    83              varsinkin jos
    83              noin vain
    83              kuin myös
    83              minkä tahansa
    83              omin voimin
    83              monen mielestä
    82              Tampereen Puhelin
    82              takaa-ajossa
    82              Helsingin Puhelimen
    81              Valko-Venäjä
    81              vähän väliä
    80              linja-autot
    80              Pohjois-Hämeen
    80              me kaikki
    80              markkina-arvo
    80              kautta linjan
    79              kaikin tavoin
    79              liike-elämän
    79              oma-aloitteisesti
    79              hyvä niin
    79              tästä lähtien
    79              kuorma-auto
    79              vapaa-aika
    78              takaa-ajo
    77              mitä muuta
    77              kuluttaja-asiamies
    76              mahdollisesti myös
    75              sota-ajan
    75              mitä vain
    75              ennen aikojaan
    75              tältä osin
    74              Itä-Timorista
    74              tämä kaikki
    74              hallinto-oikeuteen
    73              noin joka
    73              varmasti myös
    73              mistä tahansa
    73              saati sitten
    73              murto-osa
    73              Yli-Hannuksela
    72              mielin määrin
    72              syystä tai toisesta
    72              siellä täällä
    72              samoin kuin
    71              millä hyvänsä
    71              henkeä kohti
    71              Masa-Yardsin
    71              Lähi-idässä
    71              eilen illalla
    71              siitäkin huolimatta
    71              Varsinais-Suomen
    71              keski-ikäiset
    71              joskus jopa
    70              Päijät-Hämeen
    70              Jyväskylän yliopiston
    70              Tampereen teknillisessä korkeakoulussa
    70              Varsinais-Suomessa
    70              Latinalaisen Amerikan
    69              sitä mukaa kun
    69              linja-autolla
    69              levy-yhtiön
    69              tammi-maaliskuussa
    68              kaikki tämä
    68              jos taas
    68              linja-autojen
    67              siltä varalta
    67              Keski-Eurooppaan
    67              parin kolmen
    67              Etelä-Korea
    67              ajan myötä
    67              muutkin kuin
    66              Itä-Suomessa
    66              neuvoa-antava
    66              päivä päivältä
    66              Maito-Pirkan
    66              puolin ja toisin
    66              hallinto-oikeus
    66              muita kuin
    65              ensi-iltaa
    65              Oulun yliopiston
    65              vuokra-asuntoja
    65              kenelle tahansa
    65              ensimmäisten joukossa
    65              ei siis ihme
    64              Itä-Timor
    64              Turun yliopistosta
    64              koska tahansa
    64              parhaalla mahdollisella
    64              toista viikkoa
    64              tammi-syyskuussa
    64              tällä haavaa
    63              kaikin keinoin
    63              pois päältä
    63              aika-ajon
    63              vähän kuin
    62              Kuopion yliopiston
    61              tarpeen vaatiessa
    61              mennen tullen
    61              Maailman kauppajärjestön
    60              vuokra-asuntojen
    60              Sisä-Suomen
    60              Euroopan Unionin
    60              ennen kokematon
    60              suomi-yhtiö
    59              kaikki kaikessa
    59              Nato-maiden
    59              Pohjois-Irlannissa
    59              raaka-aineet
    59              sillä aikaa
    59              lauantai-illan
    59              hetken aikaa
    59              milloin tahansa
    58              Euroopan unionissa
    58              me-mies
    58              Pohjois-Pirkanmaan
    58              Länsi-Suomessa
    57              vapaa-aikaa
    57              millään lailla
    57              huippu-urheilun
    57              kantapään kautta
    57              mahdollisuuksien mukaan
    57              jos vaikka
    57              Pirkko-Liisa
    57              Tanssi-Frenckell
    56              Ulla-Maija
    56              levy-yhtiö
    56              Vesa-Matti
    56              Pohjois-Karjalassa
    56              raaka-ainetta
    56              ajan mittaan
    55              eli jos
    55              Helsingin yliopisto
    54              aamusta iltaan
    54              Uudessa-Seelannissa
    54              Turun Sanomien
    54              Iso-Britannian
    54              kesken kaiken
    54              huomioon ottaen
    54              jatko-osa
    53              toisin päin
    53              linja-autoa
    53              tammi-elokuussa
    53              yksi ainoa
    53              kaiken tämän
    53              jo ajat sitten
    53              asemakaava-arkkitehti
    53              linja-autossa
    53              Kaakkois-Euroopan
    52              joksikin aikaa
    52              Hämeen Sanomat
    52              Henki-Pohjolaan
    52              pari-kolme
    52              Anna-Leena
    52              pommi-iskun
    52              Suomi-yhtiö
    51              hallinto-oikeuden
    51              Kuopion yliopistosta
    51              Per-Erik
    51              jo pelkästään
    51              Suomi-Ruotsi
    51              raaka-aineita
    51              niin sanottua
    51              kenen tahansa
    50              Raha-automaattiyhdistyksen
    50              silmällä pitäen
    50              vähään aikaan
    50              miten tahansa
    49              takaa-ajoon
    49              joku toinen
    48              muu kuin
    48              aikaa myöten
    48              niin sanottuja
    48              muustakin kuin
    48              entiseen malliin
    48              yhtä ja toista
    48              pommi-isku
    48              missä määrin
    48              Kurki-Suonio
    47              mikä parasta
    47              auto-onnettomuudessa
    47              melkein kuin
    47              varta vasten
    47              Keski-Euroopasta
    47              Pohjois-Euroopan
    46              keski-ikäisten
    46              monin verroin
    46              Leonia pankin
    46              Jörö-Jukka
    46              yli odotusten
    46              monella tapaa
    46              niin sanotut
    45              linja-autoilla
    45              Carl-Olaf
    45              Kaakkois-Aasian
    45              sitä mukaa kuin
    45              perjantai-illan
    45              Valko-Venäjällä
    44              Jari-Pekka
    44              ajo-oikeudetta
    44              muusta kuin
    44              vapaa-aikanaan
    44              parasta aikaa
    44              jo silloin kun
    44              tammi-helmikuussa
    44              jossakin määrin
    43              kuorma-autojen
    43              puolilta päivin
    43              huhti-kesäkuussa
    43              Etelä-Pohjanmaalla
    43              nipin napin
    43              apulaisasemakaava-arkkitehti
    43              jo aikoja sitten
    43              sota-aikana
    42              yksissä tuumin
    42              aavistuksen verran
    42              kuluttaja-asiamiehen
    42              keski-iän
    42              ennen niin
    42              cup-voittajien
    42              linja-autoasema
    42              Pohjois-Irlanti
    42              raja-asemalla
    42              pommi-iskujen
    42              torstai-illan
    42              jossain muualla
    42              vuoden päivät
    41              Keski-Pohjanmaan
    41              sen mukaisesti
    41              yhdellä kertaa
    41              omasta takaa
    40              jonkun verran
    40              Euroopan unionia
    40              keski-ikäisiä
    40              Liiga-Ilveksen
    40              tarpeen tullen
    40              kolmatta vuotta
    40              Nato-jäsenyyttä
    40              Keski-Savon
    40              Saudi-Arabian
    40              niin pian kuin mahdollista
    40              maa-alueen
    40              ravintola-alan
    39              raaka-aineena
    39              muut kuin
    39              rata-ajot
    39              Etelä-Amerikassa
    39              yli-insinööri
    39              hymyssä suin
    39              tammi-kesäkuun
    39              heti kättelyssä
    39              muiden kuin
    39              jäljellä olevat
    39              läheskään niin
    38              muilta osin
    38              yli kaiken
    38              kuorma-autoa
    38              täyttä päätä
    38              aika tavalla
    38              Uusi-Seelanti
    38              lähi-idän
    38              Kanta-Hämeen
    38              meidän kaikkien
    38              Pohjois-Amerikkaan
    38              mitä ihmettä
    37              raaka-aineeksi
    37              entäpä jos
    37              Anne-Mari
    37              teini-ikäinen
    37              meillä kaikilla
    37              muillekin kuin
    37              Etelä-Koreassa
    37              tupaten täynnä
    37              osa-alueilla
    37              olipa kerran
    37              raaka-aineista
    37              Etelä-Afrikkaan
    37              tammi-huhtikuussa
    37              touko-kesäkuussa
    37              päivästä toiseen
    37              pitkiin aikoihin
    37              Etelä-Hämeen
    36              Itä-Euroopassa
    36              kuukauden päivät
    36              Teknillisestä korkeakoulusta
    36              mitään muuta kuin
    36              suoralta kädeltä
    36              Maito-Pirkka
    36              heinä-elokuun
    36              toisella puolen
    36              Keski-Suomeen
    36              Etelä-Suomeen
    36              Nato-jäsenyyden
    36              natsi-Saksan
    36              elektroniikka-alan
    36              loka-marraskuussa
    36              siihen saakka kunnes
    35              vapaa-aikana
    35              yksi kerrallaan
    35              Länsi-Euroopassa
    35              aika-ajoissa
    35              Pirkanmaan ammattikorkeakoulun
    35              parasta mahdollista
    35              Etelä-Afrikasta
    35              ajat sitten
    35              Tuomi-Nikula
    35              tasa-arvosta
    35              Itä-Timorille
    35              pitkin matkaa
    35              raja-aseman
    35              linja-autoon
    35              vähäksi aikaa
    34              Pohjois-Amerikasta
    34              raaka-aine
    34              Pohjois-Kaukasuksen
    34              tasa-arvoinen
    34              sillä tavoin
    34              nyt vielä
    34              aika-ajot
    34              alun alkaen
    34              niskan päällä
    34              Kaakkois-Suomen
    34              joten kuten
    34              pinta-alasta
    34              mihin tahansa
    34              tarkkaan ottaen
    34              Ylä-Mononen
    34              helmi-maaliskuussa
    33              Saudi-Arabia
    33              edellyttäen että
    33              teho-osastolla
    33              kontra-amiraali
    33              haja-asutusalueilla
    33              muuhun kuin
    33              ihan kuin
    33              Kino-Palatsin
    33              Itä-Saksassa
    33              puolesta ja vastaan
    33              tammi-elokuun
    32              etenkin jos
    32              Kuru-laivan
    32              korkea-arvoinen
    32              niin sanottujen
    32              jollain lailla
    32              heinä-syyskuussa
    32              Lähi-itään
    32              laaja-alainen
    32              sitä myöten
    32              kaiken irti
    32              alusta pitäen
    32              Pohjois-Kaukasuksella
    32              kolme-neljä
    32              Latinalaisessa Amerikassa
    32              kenet tahansa
    32              maanantai-illan
    32              pommi-iskussa
    32              päällisin puolin
    31              jotain muuta kuin
    31              meitä kaikkia
    31              omia aikojaan
    31              juuri muu kuin
    31              Puu-Tammelan
    31              hallinto-oikeudessa
    31              sillä välin
    31              levy-yhtiöiden
    31              tuolla puolen
    31              parhaan mahdollisen
    31              me muut
    31              touko-kesäkuun
    31              pinta-alaltaan
    31              perhe-elämän
    31              Pohjois-Savon
    31              Väli-Suomen
    31              Eurooppa-neuvoston
    31              ruoka-apua
    31              Itar-Tassin
    31              raja-alueella
    31              osin myös
    31              Nato-jäsenyys
    30              kuorma-autolla
    30              linja-autoihin
    30              Lenin museo
    30              marras-joulukuussa
    30              Pohjola-osakkeiden
    30              jatko-osan
    30              tasa-arvoon
    30              sillä jos
    30              yhtä vähän
    30              Anna-Maria
    29              Etelä-Karjalan
    29              viimeksi mainittu
    29              vuokra-asunnon
    29              tammi-huhtikuun
    29              Pirjo-Riitta
    29              muuhunkin kuin
    29              Suomen Gallupin
    29              kreikkalais-roomalaisen
    29              paitsi jos
    29              Etelä-Libanonissa
    29              yo-merkonomi
    29              paikka paikoin
    29              vapaa-aikalautakunnan
    29              Taideteollisen korkeakoulun
    29              Suomen Tietotoimiston
    29              tiistai-illan
    29              tasa-arvoisia
    29              lento-onnettomuudet
    29              jos kohta
    29              vuokra-asuntoa
    29              markkina-alue
    29              linja-autoja
    28              neljä-viisi
    28              Nato-maat
    28              ruuhka-aikoina
    28              tästä kaikesta
    28              aika-ajo
    28              siten kuin
    28              pula-ajan
    28              Isossa-Britanniassa
    28              sunnuntai-illan
    28              perin pohjin
    28              koko lailla
    28              syys-lokakuussa
    28              öljy-yhtiö
    28              lähes pelkästään
    28              sen tähden
    28              haja-asutusalueiden
    28              tammi-toukokuussa
    28              hyvää yötä
    28              markkina-aseman
    27              uima-allas
    27              perhe-elämää
    27              Leonia Pankin
    27              Mimmi-lehmä
    27              Ruotsi-ottelussa
    27              sillä lailla
    27              Pohjois-Savossa
    27              Pohjois-Atlantin
    27              Hämeen Sähkön
    27              tavan takaa
    27              aikojen kuluessa
    27              ulko-oven
    27              maailman kauppajärjestön
    27              Rhys-Jones
    27              kaksi-kolme
    27              kaikki mahdollinen
    27              Etelä-Suomesta
    27              Suomi-rockin
    27              Pallo-Iirot
    27              Merita Pankki
    27              Merita Pankin
    27              Itä-Timoria
    27              keski-ikäistä
    27              kumma kyllä
    27              joka ikinen
    27              toisin sanoen
    27              tammi-maaliskuun
    27              siksi aikaa
    27              Rinta-Opas
    26              Maailman kauppajärjestö
    26              linja-autoasemalle
    26              Nato-joukkojen
    26              jatko-opintoihin
    26              kuorma-autot
    26              auto-onnettomuudet
    26              yhtä usein
    26              aikoja sitten
    26              ravintola-alalla
    26              yhden ainoan
    26              Pohjois-Irlantia
    26              kuten esim
    26              levy-yhtiöt
    26              minkä verran
    26              Lapin yliopiston
    26              ja jotta
    26              joka kerran
    26              silmät kiinni
    26              Vara-Onni
    26              kuorma-autoja
    26              Länsi-Afrikan
    25              yhtä kaikki
    25              näihin aikoihin
    25              ajan tasalle
    25              ketä tahansa
    25              Etelä-Savon
    25              keski-iässä
    25              murto-osan
    25              pidemmän päälle
    25              Tampereen teknillisestä korkeakoulusta
    25              kuorma-autonkuljettaja
    25              linja-autoasemalla
    25              lyhyen aikaa
    25              Yli-Hannukselan
    25              tammi-syyskuun
    25              Tampereen taidemuseossa
    25              maa-alueita
    25              ennakko-odotuksia
    25              Pohjois-Koreassa
    25              niin sanotussa
    25              torjunta-aineita
    25              jos tai kun
    25              mihin aikaan
    25              meneillään olevan
    25              Länsi-Timoriin
    25              parhain päin
    25              jos mahdollista
    25              linja-autoliikenteen
    25              Kino-Palatsi
    25              virka-apua
    25              ranta-alueen
    25              öljy-yhtiön
    24              viisi-kuusi
    24              ei siksi
    24              kuru-laivan
    24              milloin vain
    24              edellä mainitut
    24              sinne päin
    24              sillä siisti
    24              Länsi-Tampereen
    24              pitkään ja hartaasti
    24              elokuva-arkiston
    24              ai niin
    24              onneksi olkoon
    24              kunnia-asia
    24              Keski-Suomi
    24              Iso-Britanniassa
    24              kulta-aikaa
    24              haja-asutusalueella
    24              eli kun
    24              monin eri tavoin
    24              linja-autoliikenne
    24              Nato-jäsenyydestä
    24              Tampereen taidemuseon
    24              pahan kerran
    24              kolmatta viikoa
    24              Pohjois-Suomeen
    24              markkina-arvosta
    24              Länsi-Balkanin
    24              kunta-alan
    24              ruuhka-aikaan
    23              Keski-Aasian
    23              linja-autonkuljettaja
    23              Sisä-Suomi
    23              osake-enemmistön
    23              marras-joulukuun
    23              Etelä-Venäjällä
    23              parhaassa mahdollisessa
    23              raja-aitoja
    23              ampuma-aserikoksesta
    23              käden käänteessä
    23              pitkän päälle
    23              neljättä vuotta
    23              Etelä-Amerikkaan
    23              Keski-Suomesta
    23              hyvä näin
    23              Länsi-Pirkanmaan
    23              tuon tuostakin
    23              kesä-heinäkuun
    23              Päijät-Hämeessä
    23              Pohjois-Suomi
    23              pommi-iskusta
    23              Ylä-Jussila
    23              teini-ikäisten
    23              Maija-Leena
    23              se kaikki
    23              elokuva-alan
    22              maalis-huhtikuussa
    22              Lenin museossa
    22              Itä-Suomesta
    22              Pohjois-Pohjanmaan
    22              mihin vain
    22              omasta puolestaan
    22              Kanta-Hämeessä
    22              asiantuntija-apua
    22              Pallo-Lahti
    22              Suomen Säästöpankin
    22              Kirsi-Kaisa
    22              missä vain
    22              kahden kolmen
    22              eri-ikäisiä
    22              Kaakkois-Aasiassa
    22              Pohjois-Pohjanmaalla
    22              pidemmän aikaa
    22              tasa-arvolain
    22              kuka hyvänsä
    22              sikäli kuin
    22              YIT-Yhtymä
    22              laina-aika
    22              tammi-helmikuun
    22              öljy-yhtiöt
    22              diplomi-insinööriksi
    22              muille kuin
    22              Leonia pankki
    22              jalkapallo-ottelu
    22              voitto-osuman
    22              muidenkin kuin
    22              Pohjolan Sanomissa
    22              lento-onnettomuudessa
    22              parhaat mahdolliset
    22              meneillään oleva
    22              eri aikaan
    22              Lounais-Suomessa
    22              jääkiekko-ottelu
    22              vuokra-asunnot
    22              liike-elämä
    22              Uudesta-Seelannista
    21              pilvin pimein
    21              pommi-iskuista
    21              Turun yliopisto
    21              Suutari-Jääskö
    21              tyhjän panttina
    21              vertaansa vailla
    21              Teknillinen korkeakoulu
    21              puna-armeijan
    21              aika-ajoa
    21              tätä menoa
    21              no niin
    21              niin ollen
    21              kuorma-autoliitto
    21              keskusta-alueen
    21              Etelä-Libanonin
    21              Henki-Pohjola
    21              edellä mainittujen
    21              pala palalta
    21              Lenin museon
    21              Vapaa-aika
    21              millä tahansa
